,province,country,latitude,longitude,confirmed_cases,deaths,recovered,data_source,country_code,region,country_flag,Observation Date
0,Hubei,China,35.86166,104.195397,729,39.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
1,Guangdong,China,35.86166,104.195397,53,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
2,Zhejiang,China,35.86166,104.195397,43,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
3,Beijing,China,35.86166,104.195397,36,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
4,Chongqing,China,35.86166,104.195397,27,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
5,Hunan,China,35.86166,104.195397,24,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
6,Guangxi,China,35.86166,104.195397,23,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
7,Shanghai,China,35.86166,104.195397,20,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
8,Jiangxi,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
9,Anhui,China,35.86166,104.195397,15,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
10,Sichuan,China,35.86166,104.195397,15,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
11,Shandong,China,35.86166,104.195397,15,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
12,Fujian,China,35.86166,104.195397,10,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
13,Henan,China,35.86166,104.195397,9,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
14,Jiangsu,China,35.86166,104.195397,9,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
15,Hainan,China,35.86166,104.195397,8,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
16,Tianjin,China,35.86166,104.195397,8,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
17,Shaanxi,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
18,Yunnan,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
19,Hong Kong,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
21,Liaoning,China,35.86166,104.195397,4,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
22,Heilongjiang,China,35.86166,104.195397,4,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
23,Guizhou,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
24,Jilin,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
25,Taiwan,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
28,Xinjiang,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
29,Ningxia,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
30,Hebei,China,35.86166,104.195397,2,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
31,Gansu,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
32,Macau,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
37,Shanxi,China,35.86166,104.195397,1,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
38,Inner Mongolia,China,35.86166,104.195397,1,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-24
40,Hubei,China,35.86166,104.195397,1052,52.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
41,Guangdong,China,35.86166,104.195397,78,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
42,Zhejiang,China,35.86166,104.195397,62,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
43,Chongqing,China,35.86166,104.195397,57,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
44,Beijing,China,35.86166,104.195397,51,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
45,Hunan,China,35.86166,104.195397,43,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
46,Anhui,China,35.86166,104.195397,39,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
47,Jiangxi,China,35.86166,104.195397,36,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
48,Shanghai,China,35.86166,104.195397,33,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
49,Guangxi,China,35.86166,104.195397,33,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
50,Henan,China,35.86166,104.195397,32,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
51,Sichuan,China,35.86166,104.195397,28,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
52,Shandong,China,35.86166,104.195397,27,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
53,Hainan,China,35.86166,104.195397,19,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
54,Fujian,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
55,Jiangsu,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
56,Liaoning,China,35.86166,104.195397,16,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
57,Shaanxi,China,35.86166,104.195397,15,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
58,Yunnan,China,35.86166,104.195397,11,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
59,Tianjin,China,35.86166,104.195397,10,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
60,Heilongjiang,China,35.86166,104.195397,9,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
61,Shanxi,China,35.86166,104.195397,9,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
62,Hebei,China,35.86166,104.195397,8,1.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
63,Guizhou,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
64,Hong Kong,China,35.86166,104.195397,5,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
66,Jilin,China,35.86166,104.195397,4,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
70,Xinjiang,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
71,Ningxia,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
72,Taiwan,China,35.86166,104.195397,3,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
75,Gansu,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
76,Inner Mongolia,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
77,Macau,China,35.86166,104.195397,2,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
81,Qinghai,China,35.86166,104.195397,1,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
83,Hubei,China,35.86166,104.195397,729,40.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
84,Guangdong,China,35.86166,104.195397,78,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
85,Zhejiang,China,35.86166,104.195397,62,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
86,Chongqing,China,35.86166,104.195397,57,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
87,Hunan,China,35.86166,104.195397,43,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
88,Anhui,China,35.86166,104.195397,39,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
89,Beijing,China,35.86166,104.195397,36,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
90,Shanghai,China,35.86166,104.195397,33,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
91,Henan,China,35.86166,104.195397,32,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
92,Sichuan,China,35.86166,104.195397,28,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
93,Shandong,China,35.86166,104.195397,27,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
94,Guangxi,China,35.86166,104.195397,23,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
95,Jiangxi,China,35.86166,104.195397,18,0.0,,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png,2020-01-25
