,province,country,latitude,longitude,confirmed_cases,deaths,recovered,data_source,country_code,region,country_flag,Observation Date
823,,Italy,41.87194,12.56738,2,0.0,,bno,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-01-31
881,,Italy,41.87194,12.56738,2,0.0,,bno,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-01-31
938,,Italy,41.87194,12.56738,2,0.0,,bno,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-01-31
995,,Italy,41.87194,12.56738,2,0.0,,bno,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-01
1051,,Italy,41.87194,12.56738,2,0.0,,bno,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-01
1108,,Italy,41.87194,12.56738,2,0.0,,bno,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-01
1167,,Italy,41.87194,12.56738,2,0.0,,bno,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-02
1224,,Italy,41.87194,12.56738,2,0.0,,bno,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-02
1281,,Italy,41.87194,12.56738,2,0.0,,bno,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-03
1339,,Italy,41.87194,12.56738,2,0.0,,bno,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-03
1396,,Italy,41.87194,12.56738,2,0.0,,bno,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-03
1454,,Italy,41.87194,12.56738,2,0.0,,bno,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-04
20339,,Italy,41.87194,12.56738,2,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-01-31
20356,,Italy,41.87194,12.56738,2,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-01-31
20418,,Italy,41.87194,12.56738,2,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-01-31
20419,,Italy,41.87194,12.56738,2,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-01-31
20420,,Italy,41.87194,12.56738,2,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-01-31
20421,,Italy,41.87194,12.56738,2,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-01-31
20422,,Italy,41.87194,12.56738,2,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-01-31
21100,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21101,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21102,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21103,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21104,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21105,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21106,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21107,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21108,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21109,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21110,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21111,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21112,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
21113,,Italy,41.87194,12.56738,3,0.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-07
22225,,Italy,41.87194,12.56738,20,1.0,0.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-21
22281,,Italy,41.87194,12.56738,62,2.0,1.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-22
22326,,Italy,41.87194,12.56738,155,3.0,2.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-23
22434,,Italy,41.87194,12.56738,229,7.0,1.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-24
22483,,Italy,41.87194,12.56738,322,10.0,1.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-25
22580,,Italy,41.87194,12.56738,453,12.0,3.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-26
22691,,Italy,41.87194,12.56738,655,17.0,45.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-27
22788,,Italy,41.87194,12.56738,888,21.0,46.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-28
22887,,Italy,41.87194,12.56738,1128,29.0,46.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-02-29
22994,,Italy,41.87194,12.56738,1694,34.0,83.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-03-01
23112,,Italy,41.87194,12.56738,2036,52.0,149.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-03-02
23321,,Italy,41.87194,12.56738,2502,79.0,160.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-03-03
23454,,Italy,41.87194,12.56738,3089,107.0,276.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-03-04
23583,,Italy,41.87194,12.56738,3858,148.0,414.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-03-05
23815,,Italy,41.87194,12.56738,4636,197.0,523.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-03-06
24013,,Italy,41.87194,12.56738,5883,233.0,589.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-03-07
24230,,Italy,41.87194,12.56738,7375,366.0,622.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-03-08
24406,,Italy,41.87194,12.56738,9172,463.0,724.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-03-09
24579,,Italy,41.87194,12.56738,10149,631.0,724.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-03-10
24741,,Italy,41.87194,12.56738,12462,827.0,1045.0,jhu,ITA,Europe,https://www.countryflags.io/it/flat/64.png,2020-03-11
